filename,actual_caption,generated_caption,BERT_f1_score
path\to\your\imagesfolder\1257.png,Vertical stratification effect can be detected on the high altitude areas of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,1
path\to\your\imagesfolder\16931.png,Turbulent mixing effect can be detected on the central side of the region. A sill-type deformation pattern of medium intensity can be detected on the central side.,turbulent mixing effect can be detected on the central side of the region. a sill - type deformation pattern of high intensity can be detected on the central side.,0.989607036
path\to\your\imagesfolder\1117.png,"Turbulent mixing effect can be detected on the top and bottom-left side of the region. Two deformation patterns can be detected. A sill-type of low intensity is located at the bottom and a dyke-type of high intensity is located in the central-left side of the image, respectively. ","turbulent mixing effect can be detected on the top, left and bottom - left side of the region. two deformation patterns can be detected. a sill - type of high intensity is located at the bottom and a dyke - type of high intensity is located in the central - left side of the image, respectively.",0.98461163
path\to\your\imagesfolder\1255.png,"Vertical stratification effect can be detected on the high altitude areas of the region. Two deformation patterns can be detected. A sill-type of high intensity is located at the bottom and a sill-type of medium intensity is located in the central-left side of the image, respectively.","vertical stratification effect can be detected on the high altitude areas of the region. two deformation patterns can be detected. a sill - type of high intensity is located at the bottom and a mogi - type of medium intensity is located in the central - left side of the image, respectively.",0.981600523
path\to\your\imagesfolder\1113.png,"Turbulent mixing effect can be detected on the top, central,left and bottom-left side of the region. A sill-type deformation pattern of low intensity is detected at the bottom of the image.","turbulent mixing effect can be detected on the top, left and bottom - left side of the region. a sill - type deformation pattern of medium intensity is detected at the bottom of the image.",0.981000543
path\to\your\imagesfolder\16898.png,Noise can be detected on the central side. Turbulent mixing effect can be detected on the right and left side of the region. A sill-type deformation pattern of high intensity can be detected on the central side.,noise can be detected on the central side. turbulent mixing effect can be detected on the left side of the region. a sill - type deformation pattern of high intensity can be detected on the central side.,0.979176223
path\to\your\imagesfolder\16804.png,Noise can be detected on the central area. Turbulent mixing effect can be detected on the wider area. A sill-type deformation pattern of low intensity can be detected on the central side. ,noise can be detected on the central area. turbulent mixing effect can be detected on the wider area of the region. a sill - type deformation pattern of low intensity can be detected on the central side.,0.9773404
path\to\your\imagesfolder\8910.png,Turbulent mixing effect can be detected on the bottom-right and central side of the region. A dyke-type deformation pattern of high intensity can be detected on the bottom-right side of the region.,turbulent mixing effect can be detected on the bottom - right side of the region. a dyke - type deformation pattern of high intensity can be detected on the bottom - right side of the region.,0.976263821
path\to\your\imagesfolder\8914.png,Turbulent mixing effect can be detected on the bottom-right side of the region. A sill-type deformation pattern of high intensity can be detected on the bottom-right side of the region.,turbulent mixing effect can be detected on the bottom - right side of the region. a dyke - type deformation pattern of high intensity can be detected on the bottom - right side of the region.,0.975152791
path\to\your\imagesfolder\959.png,Turbulent mixing effect can be detected on the leftmost and bottom-left side of the region. A sill-type deformation pattern of medium intensity can be detected at the bottom of the image. ,"turbulent mixing effect can be detected on the top, left and bottom - left side of the region. a sill - type deformation pattern of medium intensity can be detected at the bottom of the image.",0.972230971
